timestamp_s,distance_mm
18.5788,12.00
18.6412,12.00
18.7052,12.00
18.7679,12.00
18.8338,12.00
18.8953,12.00
18.9580,12.00
19.0219,12.00
19.1523,12.00
19.2111,11.00
19.2768,10.00
19.3378,10.00
19.4014,10.00
19.4673,10.00
19.5279,10.00
19.5915,11.00
19.6390,11.00
19.7025,11.00
19.7653,12.00
19.8931,12.00
19.9567,13.00
20.0203,13.00
20.0846,13.00
20.1473,12.00
20.2101,12.00
20.2736,12.00
20.3371,12.00
20.4037,11.00
20.4673,10.00
20.5279,10.00
20.6385,10.00
20.7018,10.00
20.7657,10.00
20.8290,10.00
20.8923,10.00
20.9576,10.00
21.0208,10.00
21.0831,9.00
21.1464,8.00
21.2096,8.00
21.2724,8.00
21.3362,9.00
21.3997,9.00
21.4643,10.00
21.5267,10.00
21.5898,10.00
21.6529,10.00
21.7161,10.00
21.7643,10.00
21.8272,10.00
21.8904,10.00
21.9558,9.00
22.0812,9.00
22.1449,9.00
22.2086,9.00
22.2724,9.00
22.3354,10.00
22.3990,10.00
22.4622,10.00
22.5256,11.00
22.5920,11.00
22.6524,11.00
22.7176,11.00
22.8424,11.00
22.9094,11.00
22.9685,11.00
23.0324,11.00
23.0957,10.00
23.1605,10.00
23.2243,10.00
23.2872,10.00
23.3502,9.00
23.4142,8.00
23.5400,8.00
23.6035,8.00
23.6666,8.00
23.7297,9.00
23.7959,9.00
23.8592,10.00
23.9212,11.00
23.9856,12.00
24.0503,12.00
24.1116,11.00
24.1764,10.00
24.3023,10.00
24.3699,11.00
24.4300,11.00
24.4937,11.00
24.5568,11.00
24.6213,11.00
24.6837,11.00
24.7463,11.00
24.8120,11.00
24.8581,12.00
24.9214,12.00
24.9846,12.00
25.0482,12.00
25.1105,12.00
25.1740,12.00
25.2369,12.00
25.3015,12.00
25.3646,12.00
25.4273,12.00
25.4912,12.00
25.5538,11.00
25.6168,11.00
25.7443,11.00
25.8093,11.00
25.8715,11.00
25.9341,11.00
25.9980,11.00
26.0468,11.00
26.1087,11.00
26.1725,11.00
26.2375,11.00
26.3001,11.00
26.3635,11.00
26.4903,11.00
26.5544,11.00
26.6175,11.00
26.6809,11.00
26.7447,10.00
26.8087,9.00
26.8719,9.00
26.9337,9.00
26.9974,10.00
27.0449,11.00
27.1078,11.00
27.1707,11.00
27.2342,11.00
27.2976,11.00
27.3612,11.00
27.4245,11.00
27.4884,9.00
27.5519,9.00
27.6164,10.00
27.6779,11.00
27.7418,12.00
27.8045,12.00
27.9315,12.00
27.9950,11.00
28.0580,11.00
28.1216,11.00
28.1848,11.00
28.2322,11.00
28.2967,12.00
28.3589,12.00
28.4230,12.00
28.4866,11.00
28.5509,10.00
28.6766,10.00
28.7432,10.00
28.8031,10.00
28.8678,10.00
28.9304,10.00
28.9936,10.00
29.0596,10.00
29.1211,11.00
29.1836,11.00
29.2479,11.00
29.3586,11.00
29.4223,11.00
29.4864,11.00
29.5497,11.00
29.6129,12.00
29.6769,12.00
29.7406,12.00
29.8049,12.00
29.8681,12.00
29.9320,13.00
29.9949,13.00
30.1229,13.00
30.1697,13.00
30.2335,12.00
30.2965,11.00
30.3601,10.00
30.4241,10.00
30.4876,10.00
30.5508,10.00
30.6150,10.00
30.6782,9.00
30.7440,9.00
30.8685,9.00
30.9325,9.00
30.9969,10.00
31.0597,10.00
31.1225,10.00
31.1852,10.00
31.2495,11.00
31.3125,11.00
31.3754,11.00
31.4393,11.00
31.5674,11.00
31.6304,11.00
31.6944,12.00
31.7578,12.00
31.8218,12.00
31.8855,12.00
31.9477,12.00
32.0111,11.00
32.0745,11.00
32.1384,12.00
32.1853,12.00
32.3126,12.00
32.3770,12.00
32.4405,12.00
32.5040,10.00
32.5672,9.00
32.6305,7.00
32.6936,7.00
32.7571,9.00
32.8206,10.00
32.8844,10.00
32.9475,10.00
33.0106,10.00
33.0747,10.00
33.1379,10.00
33.2010,10.00
33.2647,10.00
33.3284,10.00
33.3922,10.00
33.4569,9.00
33.5193,9.00
33.5826,10.00
33.6466,10.00
33.7736,10.00
33.8380,10.00
33.9010,10.00
33.9664,10.00
34.0289,10.00
34.0917,10.00
34.1563,10.00
34.2187,10.00
34.2824,10.00
34.3461,9.00
34.4733,9.00
34.5362,9.00
34.5990,10.00
34.6621,11.00
34.7254,12.00
34.7889,12.00
34.8517,12.00
34.9147,12.00
34.9784,12.00
35.0423,10.00
35.1072,10.00
35.2327,10.00
35.2960,10.00
35.3594,11.00
35.4271,11.00
35.4870,11.00
35.5508,11.00
35.6157,11.00
35.6769,11.00
35.7417,11.00
35.8043,11.00
35.9335,11.00
35.9952,11.00
36.0603,9.00
36.1222,8.00
36.1862,8.00
36.2497,9.00
36.3129,9.00
36.3772,10.00
36.4405,10.00
36.5041,10.00
36.5676,10.00
36.6948,11.00
36.7583,12.00
36.8230,12.00
36.8855,12.00
36.9486,11.00
37.0122,11.00
37.0759,11.00
37.1237,12.00
37.1889,13.00
37.2514,13.00
37.3266,13.00
37.3899,13.00
37.4550,12.00
37.5164,11.00
37.5796,10.00
37.6420,10.00
37.7062,10.00
37.7690,10.00
37.8328,10.00
37.8961,10.00
37.9588,10.00
38.0215,10.00
38.1485,11.00
38.2125,11.00
38.2755,11.00
38.3389,12.00
38.4022,12.00
38.4667,12.00
38.5144,12.00
38.5782,12.00
38.6406,11.00
38.7046,11.00
38.7677,10.00
38.8956,10.00
38.9586,10.00
39.0226,9.00
39.0855,9.00
39.1496,10.00
39.2126,11.00
39.2756,11.00
39.3397,11.00
39.4031,11.00
39.4678,10.00
39.5936,10.00
39.6601,10.00
39.7215,10.00
39.7872,10.00
39.8487,10.00
39.9129,11.00
39.9769,12.00
40.0391,12.00
40.1039,12.00
40.1668,12.00
40.2301,12.00
40.3572,12.00
40.4053,12.00
40.4683,12.00
40.5317,12.00
40.5956,12.00
40.6581,12.00
40.7215,12.00
40.7854,12.00
40.8494,12.00
40.9129,12.00
41.0397,11.00
41.1047,11.00
41.1666,10.00
41.2304,10.00
41.2934,10.00
41.3565,10.00
41.4055,11.00
41.4695,11.00
41.5326,11.00
41.5952,11.00
41.6604,10.00
41.7862,10.00
41.8492,10.00
41.9131,11.00
41.9778,11.00
42.0394,11.00
42.1033,11.00
42.1675,10.00
42.2305,9.00
42.2794,9.00
42.3429,9.00
42.4060,9.00
42.5328,9.00
42.5962,9.00
42.6593,9.00
42.7227,9.00
42.7864,9.00
42.8496,9.00
42.9136,9.00
42.9723,9.00
43.0355,10.00
43.1010,11.00
