timestamp_s,distance_mm
0.2087,11.00
0.2637,11.00
0.3287,11.00
0.3919,11.00
0.4552,11.00
0.5196,12.00
0.5822,12.00
0.6453,12.00
0.7085,12.00
0.7717,12.00
0.8354,12.00
0.8988,12.00
0.9633,12.00
1.0262,12.00
1.0902,12.00
1.1540,11.00
1.2171,10.00
1.2801,10.00
1.3438,11.00
1.4075,11.00
1.4713,12.00
1.5369,12.00
1.6617,12.00
1.7246,12.00
1.7885,11.00
1.8513,10.00
1.9145,10.00
1.9783,10.00
2.0419,10.00
2.1065,11.00
2.1545,11.00
2.2186,11.00
2.2820,11.00
2.4085,11.00
2.4722,11.00
2.5369,10.00
2.5991,8.00
2.6624,8.00
2.7253,9.00
2.7880,10.00
2.8518,11.00
2.9150,11.00
2.9789,11.00
3.1062,11.00
3.1547,12.00
3.2177,12.00
3.2811,12.00
3.3447,12.00
3.4081,12.00
3.4713,12.00
3.5350,12.00
3.5977,12.00
3.6624,12.00
3.7258,12.00
3.8531,12.00
3.9167,12.00
3.9807,12.00
4.0460,11.00
4.1083,11.00
4.1713,11.00
4.2341,11.00
4.2972,11.00
4.3611,11.00
4.4247,11.00
4.4874,11.00
4.5518,11.00
4.6138,11.00
4.6779,11.00
4.7415,11.00
4.8046,11.00
4.8692,11.00
4.9334,11.00
4.9955,11.00
5.0586,11.00
5.1226,11.00
5.1859,11.00
5.3115,11.00
5.3753,11.00
5.4396,12.00
5.5014,12.00
5.5650,12.00
5.6292,12.00
5.6922,11.00
5.7554,11.00
5.8190,11.00
5.8823,11.00
5.9451,11.00
6.0088,11.00
6.0731,11.00
6.1360,11.00
6.1988,11.00
6.2626,11.00
6.3266,10.00
6.3738,10.00
6.4377,10.00
6.5000,10.00
6.5640,11.00
6.6275,11.00
6.7547,11.00
6.8179,11.00
6.8818,9.00
6.9463,9.00
7.0085,9.00
7.0722,9.00
7.1361,10.00
7.1999,11.00
7.2642,12.00
7.3285,12.00
7.3911,12.00
7.5178,13.00
7.5810,14.00
7.6483,14.00
7.7084,14.00
7.7712,14.00
7.8337,13.00
7.8971,12.00
7.9627,12.00
8.0247,12.00
8.0889,12.00
8.2149,12.00
8.2779,12.00
8.3415,12.00
8.4051,12.00
8.4684,12.00
8.5325,12.00
8.5958,12.00
8.6596,12.00
8.7244,12.00
8.7863,12.00
8.8497,11.00
8.9777,11.00
9.0406,11.00
9.1054,11.00
9.1682,11.00
9.2316,11.00
9.2791,11.00
9.3422,11.00
9.4059,11.00
9.4690,11.00
9.5329,11.00
9.5968,11.00
9.6597,11.00
9.7227,11.00
9.7862,12.00
9.8498,12.00
9.9128,12.00
9.9767,12.00
10.0405,12.00
10.1040,12.00
10.1667,12.00
10.2308,12.00
10.2945,12.00
10.4054,11.00
10.4694,10.00
10.5330,9.00
10.5956,9.00
10.6594,10.00
10.7235,10.00
10.7871,10.00
10.8513,11.00
10.9179,11.00
10.9779,11.00
11.0421,11.00
11.1685,12.00
11.2335,12.00
11.2942,12.00
11.3419,12.00
11.4058,12.00
11.4696,12.00
11.5328,12.00
11.5969,11.00
11.6599,11.00
11.7232,10.00
11.7873,10.00
11.8514,10.00
11.9146,10.00
11.9796,10.00
12.0414,10.00
12.1060,12.00
12.1693,12.00
12.2169,13.00
12.2808,12.00
12.3472,12.00
12.4076,11.00
12.4705,10.00
12.5967,10.00
12.6608,10.00
12.7238,11.00
12.7869,11.00
12.8500,12.00
12.9135,12.00
12.9777,12.00
13.0415,12.00
13.1058,11.00
13.1677,10.00
13.2311,10.00
13.3570,10.00
13.4210,11.00
13.4856,11.00
13.5481,11.00
13.6130,11.00
13.6759,11.00
13.7389,12.00
13.8021,13.00
13.8658,13.00
13.9294,13.00
14.0554,12.00
14.1190,12.00
14.1821,12.00
14.2457,12.00
14.3093,12.00
14.3732,12.00
14.4202,12.00
14.4834,12.00
14.5463,12.00
14.6099,11.00
14.6731,10.00
14.7998,9.00
14.8633,9.00
14.9267,9.00
14.9906,10.00
15.0545,10.00
15.1174,11.00
15.1816,11.00
15.2450,12.00
15.3089,12.00
15.3725,11.00
15.4201,11.00
15.5472,11.00
15.6107,11.00
15.6750,11.00
15.7381,10.00
15.8013,10.00
15.8646,10.00
15.9299,10.00
15.9916,10.00
16.0560,10.00
16.1191,10.00
16.2466,10.00
16.3096,10.00
16.3726,10.00
16.4356,10.00
16.4995,11.00
16.5635,11.00
16.6269,11.00
16.6904,11.00
16.7542,11.00
16.8166,11.00
16.8799,11.00
17.0077,10.00
17.0717,10.00
17.1361,10.00
17.2001,10.00
17.2627,12.00
17.3268,12.00
17.3734,12.00
17.4362,12.00
17.4999,11.00
17.5634,11.00
17.6906,11.00
17.7545,11.00
17.8179,12.00
17.8816,12.00
17.9448,12.00
18.0080,12.00
18.0717,12.00
18.1363,12.00
18.1979,12.00
18.2614,12.00
18.3246,12.00
18.4520,12.00
18.5140,12.00
