timestamp,distance_mm_inverted
2025/05/23 15:06:05.436,14.00
2025/05/23 15:06:05.491,14.00
2025/05/23 15:06:05.555,14.00
2025/05/23 15:06:05.618,14.00
2025/05/23 15:06:05.681,14.00
2025/05/23 15:06:05.745,13.00
2025/05/23 15:06:05.809,13.00
2025/05/23 15:06:05.873,13.00
2025/05/23 15:06:05.936,13.00
2025/05/23 15:06:06.000,13.00
2025/05/23 15:06:06.128,13.00
2025/05/23 15:06:06.191,13.00
2025/05/23 15:06:06.255,13.00
2025/05/23 15:06:06.318,13.00
2025/05/23 15:06:06.366,14.00
2025/05/23 15:06:06.430,14.00
2025/05/23 15:06:06.495,14.00
2025/05/23 15:06:06.558,14.00
2025/05/23 15:06:06.620,14.00
2025/05/23 15:06:06.685,14.00
2025/05/23 15:06:06.748,14.00
2025/05/23 15:06:06.874,14.00
2025/05/23 15:06:06.939,13.00
2025/05/23 15:06:07.003,13.00
2025/05/23 15:06:07.066,13.00
2025/05/23 15:06:07.130,13.00
2025/05/23 15:06:07.193,13.00
2025/05/23 15:06:07.241,13.00
2025/05/23 15:06:07.305,13.00
2025/05/23 15:06:07.369,13.00
2025/05/23 15:06:07.432,14.00
2025/05/23 15:06:07.496,14.00
2025/05/23 15:06:07.623,14.00
2025/05/23 15:06:07.688,14.00
2025/05/23 15:06:07.751,14.00
2025/05/23 15:06:07.814,14.00
2025/05/23 15:06:07.878,13.00
2025/05/23 15:06:07.941,13.00
2025/05/23 15:06:08.005,13.00
2025/05/23 15:06:08.068,12.00
2025/05/23 15:06:08.133,12.00
2025/05/23 15:06:08.195,12.00
2025/05/23 15:06:08.323,11.00
2025/05/23 15:06:08.387,11.00
2025/05/23 15:06:08.449,12.00
2025/05/23 15:06:08.513,13.00
2025/05/23 15:06:08.576,14.00
2025/05/23 15:06:08.639,14.00
2025/05/23 15:06:08.703,14.00
2025/05/23 15:06:08.766,14.00
2025/05/23 15:06:08.829,14.00
2025/05/23 15:06:08.892,14.00
2025/05/23 15:06:08.955,14.00
2025/05/23 15:06:09.083,14.00
2025/05/23 15:06:09.146,14.00
2025/05/23 15:06:09.210,14.00
2025/05/23 15:06:09.272,13.00
2025/05/23 15:06:09.336,13.00
2025/05/23 15:06:09.399,12.00
2025/05/23 15:06:09.463,12.00
2025/05/23 15:06:09.528,11.00
2025/05/23 15:06:09.591,11.00
2025/05/23 15:06:09.654,11.00
2025/05/23 15:06:09.781,11.00
2025/05/23 15:06:09.846,12.00
2025/05/23 15:06:09.908,12.00
2025/05/23 15:06:09.971,13.00
2025/05/23 15:06:10.038,13.00
2025/05/23 15:06:10.098,13.00
2025/05/23 15:06:10.162,13.00
2025/05/23 15:06:10.210,13.00
2025/05/23 15:06:10.273,13.00
2025/05/23 15:06:10.336,12.00
2025/05/23 15:06:10.400,12.00
2025/05/23 15:06:10.527,12.00
2025/05/23 15:06:10.590,11.00
2025/05/23 15:06:10.653,11.00
2025/05/23 15:06:10.716,11.00
2025/05/23 15:06:10.780,12.00
2025/05/23 15:06:10.843,13.00
2025/05/23 15:06:10.906,13.00
2025/05/23 15:06:10.970,13.00
2025/05/23 15:06:11.033,13.00
2025/05/23 15:06:11.096,13.00
2025/05/23 15:06:11.151,13.00
2025/05/23 15:06:11.272,13.00
2025/05/23 15:06:11.337,13.00
2025/05/23 15:06:11.401,13.00
