timestamp,distance_mm_inverted
2025/05/23 15:07:48.826,13.00
2025/05/23 15:07:48.891,13.00
2025/05/23 15:07:48.955,13.00
2025/05/23 15:07:49.018,13.00
2025/05/23 15:07:49.084,13.00
2025/05/23 15:07:49.145,13.00
2025/05/23 15:07:49.208,13.00
2025/05/23 15:07:49.272,14.00
2025/05/23 15:07:49.336,14.00
2025/05/23 15:07:49.399,14.00
2025/05/23 15:07:49.526,14.00
2025/05/23 15:07:49.589,14.00
2025/05/23 15:07:49.653,14.00
2025/05/23 15:07:49.717,14.00
2025/05/23 15:07:49.780,12.00
2025/05/23 15:07:49.844,12.00
2025/05/23 15:07:49.907,12.00
2025/05/23 15:07:49.972,12.00
2025/05/23 15:07:50.034,12.00
2025/05/23 15:07:50.098,13.00
2025/05/23 15:07:50.163,14.00
2025/05/23 15:07:50.272,14.00
2025/05/23 15:07:50.336,13.00
2025/05/23 15:07:50.399,12.00
2025/05/23 15:07:50.463,11.00
2025/05/23 15:07:50.527,11.00
2025/05/23 15:07:50.592,12.00
2025/05/23 15:07:50.655,13.00
2025/05/23 15:07:50.719,13.00
2025/05/23 15:07:50.784,13.00
2025/05/23 15:07:50.847,14.00
2025/05/23 15:07:50.908,14.00
2025/05/23 15:07:50.972,14.00
2025/05/23 15:07:51.035,13.00
2025/05/23 15:07:51.085,13.00
2025/05/23 15:07:51.147,13.00
2025/05/23 15:07:51.211,13.00
2025/05/23 15:07:51.275,13.00
2025/05/23 15:07:51.339,13.00
2025/05/23 15:07:51.402,13.00
2025/05/23 15:07:51.465,13.00
2025/05/23 15:07:51.529,13.00
2025/05/23 15:07:51.592,13.00
2025/05/23 15:07:51.721,13.00
2025/05/23 15:07:51.785,13.00
2025/05/23 15:07:51.849,13.00
2025/05/23 15:07:51.913,13.00
2025/05/23 15:07:51.976,12.00
2025/05/23 15:07:52.040,12.00
2025/05/23 15:07:52.104,11.00
2025/05/23 15:07:52.166,11.00
2025/05/23 15:07:52.230,11.00
2025/05/23 15:07:52.293,11.00
2025/05/23 15:07:52.356,12.00
2025/05/23 15:07:52.485,13.00
2025/05/23 15:07:52.550,13.00
2025/05/23 15:07:52.610,13.00
2025/05/23 15:07:52.675,13.00
2025/05/23 15:07:52.738,13.00
2025/05/23 15:07:52.802,13.00
2025/05/23 15:07:52.866,12.00
2025/05/23 15:07:52.913,12.00
2025/05/23 15:07:52.976,12.00
2025/05/23 15:07:53.039,12.00
