timestamp,distance_mm_inverted
2025/05/23 14:57:34.627,-75.00
2025/05/23 14:57:34.694,-75.00
2025/05/23 14:57:34.745,-74.00
2025/05/23 14:57:34.807,-73.00
2025/05/23 14:57:34.868,-73.00
2025/05/23 14:57:34.929,-73.00
2025/05/23 14:57:35.001,-73.00
2025/05/23 14:57:35.062,-73.00
2025/05/23 14:57:35.123,-73.00
2025/05/23 14:57:35.184,-72.00
2025/05/23 14:57:35.246,-72.00
2025/05/23 14:57:35.369,-72.00
2025/05/23 14:57:35.430,-72.00
2025/05/23 14:57:35.491,-72.00
2025/05/23 14:57:35.563,-72.00
2025/05/23 14:57:35.623,-72.00
2025/05/23 14:57:35.685,-72.00
2025/05/23 14:57:35.747,-71.00
2025/05/23 14:57:35.807,-71.00
2025/05/23 14:57:35.868,-71.00
2025/05/23 14:57:35.930,-71.00
2025/05/23 14:57:36.054,-71.00
2025/05/23 14:57:36.125,-71.00
2025/05/23 14:57:36.189,-71.00
2025/05/23 14:57:36.249,-71.00
2025/05/23 14:57:36.310,-71.00
2025/05/23 14:57:36.371,-71.00
2025/05/23 14:57:36.432,-71.00
2025/05/23 14:57:36.493,-72.00
2025/05/23 14:57:36.554,-72.00
2025/05/23 14:57:36.626,-72.00
2025/05/23 14:57:36.691,-72.00
2025/05/23 14:57:36.810,-72.00
2025/05/23 14:57:36.870,-72.00
2025/05/23 14:57:36.932,-72.00
2025/05/23 14:57:36.995,-72.00
2025/05/23 14:57:37.055,-72.00
2025/05/23 14:57:37.116,-72.00
2025/05/23 14:57:37.179,-72.00
2025/05/23 14:57:37.250,-72.00
2025/05/23 14:57:37.312,-73.00
2025/05/23 14:57:37.374,-74.00
2025/05/23 14:57:37.436,-74.00
2025/05/23 14:57:37.562,-74.00
2025/05/23 14:57:37.626,-73.00
2025/05/23 14:57:37.686,-73.00
2025/05/23 14:57:37.833,-71.00
2025/05/23 14:57:37.880,-71.00
2025/05/23 14:57:37.944,-71.00
2025/05/23 14:57:37.993,-72.00
2025/05/23 14:57:38.055,-72.00
2025/05/23 14:57:38.119,-73.00
2025/05/23 14:57:38.246,-73.00
