timestamp,distance_mm_inverted
2025/05/23 14:58:53.047,3.00
2025/05/23 14:58:53.111,3.00
2025/05/23 14:58:53.176,3.00
2025/05/23 14:58:53.240,3.00
2025/05/23 14:58:53.303,3.00
2025/05/23 14:58:53.367,4.00
2025/05/23 14:58:53.431,5.00
2025/05/23 14:58:53.493,5.00
2025/05/23 14:58:53.557,5.00
2025/05/23 14:58:53.621,4.00
2025/05/23 14:58:53.747,4.00
2025/05/23 14:58:53.811,3.00
2025/05/23 14:58:53.875,2.00
2025/05/23 14:58:53.938,1.00
2025/05/23 14:58:54.002,1.00
2025/05/23 14:58:54.065,1.00
2025/05/23 14:58:54.128,3.00
2025/05/23 14:58:54.192,3.00
2025/05/23 14:58:54.254,3.00
2025/05/23 14:58:54.321,3.00
2025/05/23 14:58:54.382,3.00
2025/05/23 14:58:54.492,3.00
2025/05/23 14:58:54.556,3.00
2025/05/23 14:58:54.619,2.00
2025/05/23 14:58:54.683,1.00
2025/05/23 14:58:54.746,1.00
2025/05/23 14:58:54.809,1.00
2025/05/23 14:58:54.873,1.00
2025/05/23 14:58:54.939,1.00
2025/05/23 14:58:54.999,1.00
2025/05/23 14:58:55.063,1.00
2025/05/23 14:58:55.126,1.00
2025/05/23 14:58:55.255,1.00
2025/05/23 14:58:55.309,1.00
2025/05/23 14:58:55.367,1.00
2025/05/23 14:58:55.428,1.00
2025/05/23 14:58:55.492,1.00
2025/05/23 14:58:55.556,3.00
2025/05/23 14:58:55.620,3.00
